Source,Target,Type,Id,Label,timeset,Weight
EcologicalSustainability,CommunityAcceptance,Directed,0,,,1
Infrastructure,EcologicalSustainability,Directed,1,,,1
Infrastructure,LandAvailability-Development,Directed,2,,,1
Infrastructure,CommunityAcceptance,Directed,3,,,1
LandAvailability-Development,EcologicalSustainability,Directed,4,,,1
FloodRisk,LandAvailability-Development,Directed,5,,,1
LandAvailability-Feedstock,Feedstock,Directed,6,,,1
Policy-HabitatRegulations,LandAvailability-Development,Directed,7,,,1
Policy-Positive,LandAvailability-Development,Directed,8,,,1
Policy-Positive,ExistingIndustries,Directed,9,,,1
Policy-Positive,Funding,Directed,10,,,1
Policy-Positive,BBEEnergy,Directed,11,,,1
InternationalInstability,LandAvailability-Feedstock,Directed,12,,,1
InternationalInstability,Policy-Positive,Directed,13,,,1
InternationalInstability,Funding,Directed,14,,,1
InternationalInstability,Feedstock,Directed,15,,,1
InternationalInstability,FossilFuelPrice,Directed,16,,,1
ExistingIndustries,Funding,Directed,17,,,1
Funding,BBEEnergy,Directed,18,,,1
Funding,Technology,Directed,19,,,1
BBEEnergy,EcologicalSustainability,Directed,20,,,1
BBEEnergy,Infrastructure,Directed,21,,,1
BBEEnergy,LandAvailability-Development,Directed,22,,,1
BBEEnergy,Feedstock,Directed,23,,,1
BBEEnergy,Jobs,Directed,24,,,1
BBEEnergy,By-products,Directed,25,,,1
BBEEnergy,Knowledge,Directed,26,,,1
Feedstock,BBEEnergy,Directed,27,,,1
CommunityAcceptance,Policy-Positive,Directed,28,,,1
Jobs,CommunityAcceptance,Directed,29,,,1
By-products,Jobs,Directed,30,,,1
By-products,Competitiveness,Directed,31,,,1
Competitiveness,BBEEnergy,Directed,32,,,1
FossilFuelPrice,Competitiveness,Directed,33,,,1
Technology,Competitiveness,Directed,34,,,1
Knowledge,Technology,Directed,35,,,1
