Source,Target,Type ,Weight,Colour
1,5,Directed,1,Red
5,1,Directed,1,Red
1,35,Directed,1,Grey
1,2,Directed,1,Red
2,1,Directed,1,Red
1,4,Directed,1,Red
4,1,Directed,1,Red
2,4,Directed,1,Red
4,2,Directed,1,Red
3,2,Directed,1,Red
4,3,Directed,1,Red
4,27,Directed,1,Grey
5,12,Directed,1,Green
5,35,Directed,1,Grey
5,7,Directed,1,Green
5,6,Directed,1,Green
5,13,Directed,1,Green
6,4,Directed,1,Red
6,5,Directed,1,Red
7,4,Directed,1,Red
7,6,Directed,1,Green
8,9,Directed,1,Grey
9,15,Directed,1,Green
10,7,Directed,1,Grey
11,4,Directed,1,Green
11,7,Directed,1,Green
11,13,Directed,1,Green
11,31,Directed,1,Green
11,17,Directed,1,Grey
12,4,Directed,1,Red
12,35,Directed,1,Grey
12,22,Directed,1,Green
13,5,Directed,1,Red
13,6,Directed,1,Grey
13,8,Directed,1,Grey
13,15,Directed,1,Grey
13,14,Directed,1,Grey
15,13,Directed,1,Grey
15,16,Directed,1,Grey
15,17,Directed,1,Grey
16,15,Directed,1,Green
16,26,Directed,1,Green
17,15,Directed,1,Green
17,10,Directed,1,Green
17,18,Directed,1,Green
17,26,Directed,1,Green
18,21,Directed,1,Green
19,26,Directed,1,Green
19,25,Directed,1,Grey
20,26,Directed,1,Green
21,26,Directed,1,Green
22,12,Directed,1,Green
22,37,Directed,1,Grey
22,35,Directed,1,Grey
23,36,Directed,1,Green
24,6,Directed,1,Grey
25,17,Directed,1,Green
25,19,Directed,1,Green
25,26,Directed,1,Green
25,16,Directed,1,Green
26,24,Directed,1,Grey
26,36,Directed,1,Grey
26,25,Directed,1,Grey
27,26,Directed,1,Grey
26,27,Directed,1,Grey
27,28,Directed,1,Grey
28,27,Directed,1,Grey
28,26,Directed,1,Grey
29,26,Directed,1,Grey
29,30,Directed,1,Grey
30,29,Directed,1,Grey
30,31,Directed,1,Grey
31,30,Directed,1,Grey
30,33,Directed,1,Grey
31,11,Directed,1,Grey
31,34,Directed,1,Grey
32,27,Directed,1,Grey
27,32,Directed,1,Grey
32,13,Directed,1,Grey
32,34,Directed,1,Grey
34,32,Directed,1,Grey
33,34,Directed,1,Grey
35,31,Directed,1,Grey
31,35,Directed,1,Grey
36,26,Directed,1,Green
36,23,Directed,1,Green
36,31,Directed,1,Grey
37,35,Directed,1,Grey
37,22,Directed,1,Green
38,37,Directed,1,Grey
38,3,Directed,1,Grey
38,4,Directed,1,Grey
38,7,Directed,1,Grey
38,45,Directed,1,Grey
38,40,Directed,1,Red
40,45,Directed,1,Red
45,40,Directed,1,Red
40,39,Directed,1,Grey
4,40,Directed,1,Red
38,40,Directed,1,Red
40,13,Directed,1,Grey
47,41,Directed,1,Green
42,13,Directed,1,Green
8,43,Directed,1,Red
43,15,Directed,1,Red
44,43,Directed,1,Red
44,8,Directed,1,Red
44,48,Directed,1,Red
45,15,Directed,1,Green
26,45,Directed,1,Grey
45,40,Directed,1,Red
40,45,Directed,1,Red
38,45,Directed,1,Grey
46,47,Directed,1,Red
46,12,Directed,1,Grey
46,28,Directed,1,Red
46,31,Directed,1,Grey
35,46,Directed,1,Red
47,27,Directed,1,Grey
47,43,Directed,1,Green
13,47,Directed,1,Green
14,49,Directed,1,Grey
13,49,Directed,1,Grey
49,50,Directed,1,Grey
50,12,Directed,1,Grey
32,51,Directed,1,Red
15,51,Directed,1,Green
51,45,Directed,1,Red
45,51,Directed,1,Grey
53,36,Directed,1,Grey
53,54,Directed,1,Grey
54,53,Directed,1,Grey
54,55,Directed,1,Green
55,45,Directed,1,Red
55,22,Directed,1,Grey
51,56,Directed,1,Green
56,51,Directed,1,Green
56,32,Directed,1,Grey
32,56,Directed,1,Grey
27,57,Directed,1,Grey
57,27,Directed,1,Grey
57,26,Directed,1,Grey
26,57,Directed,1,Grey
